Size,Bust (Inches),Waist (Inches),Hips (Inches)
00 (XXS),31,24,34
0 (XS),32,25,35
2 (XS),33,26,36
4 (S),34,27,37
6 (S),35,28,38
8 (M),36,29,39
10 (M),37,30,40
12 (L),38.5,31.5,41.5
14 (L),40,33,43
16 (XL),41.5,34.5,44.5
00 (XXS) Petite,29.5,22.5,32.5
16 (XL) Tall,41.5,34.5,44.5
