US Size,UK Size,EU Size,Foot Length (Inches)
4,2,35,8.188
4.5,2.5,35,8.375
5,3,35-36,8.563
5.5,3.5,36,8.75
6,4,36-37,8.875
6.5,4.5,37,9.063
7,5,37-38,9.25
7.5,5.5,38,9.375
8,6,38-39,9.5
8.5,6.5,39,9.688
9,7,39-40,9.875
9.5,7.5,40,10
10,8,40-41,10.188
10.5,8.5,41,10.375
11,9,41-42,10.5
11.5,9.5,42,10.688
12,10,42-43,10.875
