Size (Alpha),Size (Numeric),Waist (Inches),Hip (Inches)
XS,28-29,30-31,34-36
S,30-31,32-33,35-37
M,32-34,34-36,38-40
L,35-37,37-39,41-43
XL,38-40,40-43,44-47
XXL,41-43,44-47,48-50
